"ID","plot","pot","campaign","type","area","mass","volume","Date","sla","massarea"
"4-6",4,6,4,"Amax",34.43,0.29,"15",2013-04-17,0.0118724137931034,84.2288701713622
"4-6",4,6,6,"Amax",23.61,0.22,"15",2013-05-16,0.0107318181818182,93.1808555696739
"4-7",4,7,1,"Amax",13.4,0.12,"20",2013-03-07,0.0111666666666667,89.5522388059701
"4-7",4,7,2,"Amax",12.36,0.1,"20",2013-03-22,0.01236,80.9061488673139
"4-7",4,7,3,"Amax",13.015,0.165,"20",2013-04-08,0.00788787878787879,126.77679600461
"4-7",4,7,4,"Amax",8.88,0.1,"20",2013-04-17,0.00888,112.612612612613
"4-7",4,7,5,"Amax",9.07,0.11,"20",2013-05-01,0.00824545454545455,121.278941565601
"4-7",4,7,6,"Amax",9.14,0.095,"20",2013-05-16,0.00962105263157895,103.938730853392
"4-8",4,8,1,"Amax",38.5,0.23,"1000",2013-03-07,0.0167391304347826,59.7402597402597
"4-8",4,8,2,"Amax",25.18,0.16,"1000",2013-03-22,0.0157375,63.5424940428912
"4-8",4,8,3,"Amax",31.155,0.26,"1000",2013-04-08,0.0119826923076923,83.4536992457069
"4-8",4,8,4,"Amax",46.58,0.42,"1000",2013-04-17,0.0110904761904762,90.167453842851
"4-8",4,8,5,"Amax",28.16,0.29,"1000",2013-05-01,0.00971034482758621,102.982954545455
"4-8",4,8,6,"Amax",29.37,0.38,"1000",2013-05-16,0.00772894736842105,129.383724889343
"5-2",5,2,1,"Amax",19,0.16,"25",2013-03-07,0.011875,84.2105263157895
"5-2",5,2,2,"Amax",15.6,0.13,"25",2013-03-22,0.012,83.3333333333333
"5-2",5,2,3,"Amax",14.65,0.13,"25",2013-04-08,0.0112692307692308,88.7372013651877
"5-2",5,2,4,"Amax",20.76,0.25,"25",2013-04-17,0.008304,120.423892100193
"5-2",5,2,6,"Amax",16.075,0.16,"25",2013-05-16,0.010046875,99.5334370139969
"5-3",5,3,1,"Amax",13.9,0.15,"10",2013-03-07,0.00926666666666667,107.913669064748
"5-3",5,3,2,"Amax",11.29,0.12,"10",2013-03-22,0.00940833333333333,106.288751107175
"5-3",5,3,3,"Amax",13.305,0.155,"10",2013-04-08,0.00858387096774194,116.497557309282
"5-3",5,3,4,"Amax",13.38,0.17,"10",2013-04-17,0.00787058823529412,127.055306427504
"5-3",5,3,5,"Amax",6.39,0.06,"10",2013-05-01,0.01065,93.8967136150235
"5-3",5,3,6,"Amax",11.165,0.145,"10",2013-05-16,0.0077,129.87012987013
"5-4",5,4,1,"Amax",13.3,0.08,"15",2013-03-07,0.016625,60.1503759398496
"5-4",5,4,2,"Amax",21.54,0.14,"15",2013-03-22,0.0153857142857143,64.9953574744661
"5-4",5,4,3,"Amax",14.885,0.115,"15",2013-04-08,0.0129434782608696,77.2589855559288
"5-4",5,4,4,"Amax",24,0.2,"15",2013-04-17,0.012,83.3333333333333
"5-4",5,4,5,"Amax",13.39,0.12,"15",2013-05-01,0.0111583333333333,89.6191187453323
"5-4",5,4,6,"Amax",26.395,0.27,"15",2013-05-16,0.00977592592592593,102.292100776662
"5-5",5,5,1,"Amax",21,0.25,"20",2013-03-07,0.0084,119.047619047619
"5-5",5,5,2,"Amax",12.28,0.15,"20",2013-03-22,0.00818666666666667,122.14983713355
"5-5",5,5,3,"Amax",13.41,0.155,"20",2013-04-08,0.00865161290322581,115.58538404176
"5-5",5,5,4,"Amax",10.62,0.14,"20",2013-04-17,0.00758571428571429,131.826741996234
"5-5",5,5,5,"Amax",10.59,0.15,"20",2013-05-01,0.00706,141.643059490085
"5-5",5,5,6,"Amax",9.935,0.115,"20",2013-05-16,0.00863913043478261,115.7523905385
"5-6",5,6,1,"Amax",40.5,0.23,"1000",2013-03-07,0.0176086956521739,56.7901234567901
"5-6",5,6,2,"Amax",49.87,0.31,"1000",2013-03-22,0.0160870967741935,62.1616202125526
"5-6",5,6,3,"Amax",27.855,0.195,"1000",2013-04-08,0.0142846153846154,70.0053850296177
"5-6",5,6,4,"Amax",28.26,0.2,"1000",2013-04-17,0.01413,70.7714083510262
"5-6",5,6,5,"Amax",44.74,0.48,"1000",2013-05-01,0.00932083333333333,107.286544479213
"5-6",5,6,6,"Amax",31.83,0.36,"1000",2013-05-16,0.00884166666666667,113.100848256362
"5-7",5,7,1,"Amax",30.2,0.19,"35",2013-03-07,0.0158947368421053,62.9139072847682
"5-7",5,7,2,"Amax",35.98,0.25,"35",2013-03-22,0.014392,69.4830461367426
"5-7",5,7,3,"Amax",27.115,0.21,"35",2013-04-08,0.0129119047619048,77.4479070625115
"5-7",5,7,4,"Amax",35.42,0.34,"35",2013-04-17,0.0104176470588235,95.990965556183
"5-7",5,7,5,"Amax",20.28,0.21,"35",2013-05-01,0.00965714285714286,103.550295857988
"5-7",5,7,6,"Amax",34.62,0.34,"35",2013-05-16,0.0101823529411765,98.209127671866
"5-8",5,8,1,"Amax",13.5,0.08,"5",2013-03-07,0.016875,59.2592592592593
"5-8",5,8,2,"Amax",16.84,0.17,"5",2013-03-22,0.00990588235294118,100.950118764846
"5-8",5,8,3,"Amax",13.04,0.15,"5",2013-04-08,0.00869333333333333,115.030674846626
"5-8",5,8,4,"Amax",22.61,0.26,"5",2013-04-17,0.00869615384615384,114.99336576736
"5-8",5,8,6,"Amax",14.335,0.19,"5",2013-05-16,0.00754473684210526,132.542727589815
"6-1",6,1,1,"Amax",40.2,0.25,"35",2013-03-07,0.01608,62.1890547263682
"6-1",6,1,2,"Amax",50.68,0.41,"35",2013-03-22,0.0123609756097561,80.8997632202052
"6-1",6,1,3,"Amax",47.43,0.44,"35",2013-04-08,0.0107795454545455,92.7682901117436
"6-1",6,1,4,"Amax",27.35,0.23,"35",2013-04-17,0.0118913043478261,84.0950639853748
"6-1",6,1,5,"Amax",25.55,0.29,"35",2013-05-01,0.00881034482758621,113.502935420744
