"ID","starch_mgperg","sugars_mgperg","volume","campaign","Date","starch","sugars","tnc"
"'5-2",49.25714286,89.69996389,"25",6,2013-05-16,0.04925714286,0.08969996389,0.13895710675
"'5-3",186.222973,42.48225225,"10",1,2013-03-07,0.186222973,0.04248225225,0.22870522525
"'5-3",182.4485294,58.21738051,"10",2,2013-03-22,0.1824485294,0.05821738051,0.24066590991
"'5-3",151.1884617,45.60427885,"10",3,2013-04-08,0.1511884617,0.04560427885,0.19679274055
"'5-3",111.3263158,75.50126433,"10",4,2013-04-17,0.1113263158,0.07550126433,0.18682758013
"'5-3",131.987234,92.00655851,"10",5,2013-05-01,0.131987234,0.09200655851,0.22399379251
"'5-3",64.16666667,85.17819198,"10",6,2013-05-16,0.06416666667,0.08517819198,0.14934485865
"'5-4",15.44943809,70.95026685,"15",3,2013-04-08,0.01544943809,0.07095026685,0.08639970494
"'5-4",14.68791946,79.49141946,"15",4,2013-04-17,0.01468791946,0.07949141946,0.09417933892
"'5-4",12.02764977,85.83067972,"15",5,2013-05-01,0.01202764977,0.08583067972,0.09785832949
"'5-4",33.14285714,104.2436357,"15",6,2013-05-16,0.03314285714,0.1042436357,0.13738649284
"'5-5",140.6366782,49.89197232,"20",1,2013-03-07,0.1406366782,0.04989197232,0.19052865052
"'5-5",13.54205607,70.56471964,"20",2,2013-03-22,0.01354205607,0.07056471964,0.08410677571
"'5-5",55.19548861,60.98595395,"20",3,2013-04-08,0.05519548861,0.06098595395,0.11618144256
"'5-5",29.91397849,63.73227121,"20",4,2013-04-17,0.02991397849,0.06373227121,0.0936462497
"'5-5",14.175,88.8266875,"20",5,2013-05-01,0.014175,0.0888266875,0.1030016875
"'5-5",25.70616114,91.24580909,"20",6,2013-05-16,0.02570616114,0.09124580909,0.11695197023
"'5-6",102.4253731,53.18355721,"free",1,2013-03-07,0.1024253731,0.05318355721,0.15560893031
"'5-6",32.21359223,76.1477311,"free",2,2013-03-22,0.03221359223,0.0761477311,0.10836132333
