"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"142",5,6,"5-6",6,0.36,1000,2013-05-17,-0.341323297,0.041448091,412.7144885,12.31293204,29.28,0.190251463,-0.948120269444444
"143",5,6,"5-6",6,0.36,1000,2013-05-17,-0.343830341,0.04156943,412.7981732,12.31233054,29.28,0.190611866,-0.955084280555555
"144",5,6,"5-6",6,0.36,1000,2013-05-17,-0.343627786,0.04160565,412.7798147,12.31229008,29.28,0.190726575,-0.954521627777778
"145",5,7,"5-7",6,0.34,35,2013-05-17,-0.264187115,0.002489363,568.1551084,12.491683,34.12,0.015674737,-0.777020926470588
"146",5,7,"5-7",6,0.34,35,2013-05-17,-0.262126812,0.002498151,566.2837117,12.48792302,34.12,0.015719028,-0.770961211764706
"147",5,7,"5-7",6,0.34,35,2013-05-17,-0.258862505,0.002506585,563.6283945,12.48621261,34.12,0.015767877,-0.761360308823529
"148",5,7,"5-7",6,0.34,35,2013-05-17,-0.261393991,0.002517953,564.5027578,12.4832523,34.12,0.015831296,-0.768805855882353
"149",5,7,"5-7",6,0.34,35,2013-05-17,-0.259264654,0.002508124,563.7830674,12.48244264,34.12,0.015767328,-0.7625431
"150",5,8,"5-8",6,0.19,5,2013-05-17,-0.316328399,-0.005144857,299.4713881,12.64705142,11.23,-0.035148949,-1.66488631052632
"151",5,8,"5-8",6,0.19,5,2013-05-17,-0.31034595,-0.005180023,301.9428864,12.64173331,11.23,-0.035370147,-1.63339973684211
"152",5,8,"5-8",6,0.19,5,2013-05-17,-0.319322315,-0.005165284,298.9225313,12.64013405,11.23,-0.035256205,-1.68064376315789
"153",5,8,"5-8",6,0.19,5,2013-05-17,-0.321272989,-0.004999622,295.0752323,12.65895942,11.23,-0.034239863,-1.69091046842105
"154",5,8,"5-8",6,0.19,5,2013-05-17,-0.323503931,-0.004996234,294.2713932,12.65643421,11.23,-0.034207834,-1.70265226842105
"155",6,1,"6-1",6,0.18,35,2013-05-16,-0.413316827,0.002939904,623.1061378,11.59292624,14.6,0.013157871,-2.29620459444444
"156",6,1,"6-1",6,0.18,35,2013-05-16,-0.411492796,0.002930078,622.834748,11.59597087,14.6,0.013127549,-2.28607108888889
"157",6,1,"6-1",6,0.18,35,2013-05-16,-0.410731892,0.002783586,634.196664,11.59415966,14.6,0.012476088,-2.28184384444444
"158",6,1,"6-1",6,0.18,35,2013-05-16,-0.420271865,0.002827101,635.9768259,11.59068822,14.6,0.012660501,-2.33484369444444
"159",6,1,"6-1",6,0.18,35,2013-05-16,-0.405922652,0.002832443,627.4372998,11.57948132,14.6,0.012654722,-2.25512584444444
"160",6,3,"6-3",6,0.13,5,2013-05-16,-0.285496728,0.006911608,465.3154248,11.67198366,10.24,0.03046908,-2.19612867692308
"161",6,3,"6-3",6,0.13,5,2013-05-16,-0.280056136,0.006727944,465.872273,11.67659879,10.24,0.02968901,-2.15427796923077
"162",6,3,"6-3",6,0.13,5,2013-05-16,-0.279347162,0.006723948,465.7005191,11.67216072,10.24,0.029644053,-2.14882432307692
"163",6,3,"6-3",6,0.13,5,2013-05-16,-0.279614465,0.006708592,465.8825338,11.66973123,10.24,0.029570155,-2.1508805
"164",6,3,"6-3",6,0.13,5,2013-05-16,-0.298813653,0.006627395,471.3722272,11.6679912,10.24,0.029205176,-2.29856656153846
"165",6,4,"6-4",6,0.19,20,2013-05-16,-0.404668487,0.004195364,554.0223185,11.61465026,23,0.018648573,-2.12983414210526
"166",6,4,"6-4",6,0.19,20,2013-05-16,-0.412871007,0.004255227,554.9657503,11.61208306,23,0.018891183,-2.1730053
"167",6,4,"6-4",6,0.19,20,2013-05-16,-0.410569468,0.004360342,550.3463335,11.61344162,23,0.019356055,-2.16089193684211
"168",6,4,"6-4",6,0.19,20,2013-05-16,-0.410023021,0.004373319,549.7500555,11.61374879,23,0.019405302,-2.1580159
"169",6,4,"6-4",6,0.19,20,2013-05-16,-0.409786111,0.004406601,548.5405069,11.6117349,23,0.019546867,-2.15676900526316
"170",6,5,"6-5",6,0.22,10,2013-05-16,-0.367420023,0.018160923,432.1844441,11.53354597,21.39,0.073447088,-1.67009101363636
"171",6,5,"6-5",6,0.22,10,2013-05-16,-0.364004058,0.018166412,431.9114174,11.53847218,21.39,0.073548027,-1.6545639
"172",6,5,"6-5",6,0.22,10,2013-05-16,-0.370889277,0.018148683,432.5396825,11.54534209,21.39,0.073593028,-1.68586035
"173",6,5,"6-5",6,0.22,10,2013-05-16,-0.364911032,0.018138629,432.0365229,11.55323323,21.39,0.073676942,-1.65868650909091
"174",6,5,"6-5",6,0.22,10,2013-05-16,-0.366781826,0.018090892,432.2124378,11.55687124,21.39,0.073588053,-1.66719011818182
"175",6,6,"6-6",6,0.2,15,2013-05-16,-0.135081674,0.000730052,694.2704841,11.71547149,20.1,0.003312563,-0.67540837
"176",6,6,"6-6",6,0.2,15,2013-05-16,-0.131317516,0.000724325,688.3388349,11.71193867,20.1,0.003284798,-0.65658758
"177",6,6,"6-6",6,0.2,15,2013-05-16,-0.135748674,0.000983321,619.4318369,11.71451272,20.1,0.004457354,-0.67874337
"178",6,6,"6-6",6,0.2,15,2013-05-16,-0.131018028,0.000941426,621.1690737,11.71325576,20.1,0.004267013,-0.65509014
"179",6,6,"6-6",6,0.2,15,2013-05-16,-0.137419165,0.000928871,635.2019201,11.69893208,20.1,0.004198777,-0.687095825
"180",6,7,"6-7",6,0.25,25,2013-05-16,-0.205196332,0.002284637,542.0084649,11.59453711,24.16,0.010540837,-0.820785328
"181",6,7,"6-7",6,0.25,25,2013-05-16,-0.19464447,0.002327141,532.1721078,11.58163283,24.16,0.010710138,-0.77857788
"182",6,7,"6-7",6,0.25,25,2013-05-16,-0.189003972,0.002316838,528.8932126,11.57201101,24.16,0.010646002,-0.756015888
