"plant_id","M","totPARleaf","volume"
"Eletr4",0.853067565801838,54.0584783275011,"25"
"Ambtr2",0.812855384143243,40.1773529784835,"25"
"Eletr8",0.790519595284082,38.8082595070983,"25"
"Eletr1",0.777335276209362,67.5239699378583,"25"
"Eletr2",0.777485714070669,55.8220726700182,"25"
"Eletr3",0.779654647477544,48.0694862907612,"25"
"Ambtr3",0.79026633256853,29.7890998193905,"25"
"Eletr6",0.799337315238927,24.6250732946414,"25"
"Eletr7",0.813929190840767,67.122145748471,"25"
"Ambtr4",0.805658763530374,32.4976420119938,"25"
"euchae3",0.910182016705142,2.5057914201716,"35"
"euchae1",0.923190955610486,0.58212289833256,"35"
"euchae2",0.896267657686943,5.53864249342375,"35"
"euchaeR90",0.925876240284351,3.07034993698251,"35"
"euchaeR50",0.922031043004957,1.46614593440656,"35"
"euchaeR70",0.912234609336862,3.14540420165441,"35"
"euchaeR91",0.911281798206033,2.10233546122769,"35"
"euchaeR71",0.898844095580243,1.72290735559345,"35"
"10nd",0.824328473015389,75.5158170343276,"35"
"11nd",0.777300508138813,78.8790160467403,"35"
"12nd",0.825812458929981,59.1300736409169,"35"
"7d",0.864366858959679,44.9520826384261,"35"
"33d",0.844143599280816,38.0004556889878,"35"
"8d",0.802901727045281,54.1440361069408,"35"
"35nd",0.845220888914357,57.1011360524219,"35"
"36nd",0.869803032420921,32.268785357824,"35"
"46nd",0.826101944984948,53.6518588570418,"35"
"9d",0.870390232394183,38.8780442654048,"35"
"44d",0.894529062797278,29.7365910896522,"35"
"45d",0.898060496887087,26.4923532516618,"35"
"21d",0.846038862742069,42.1958065129425,"35"
"47nd",0.849299483316293,63.618871312446,"35"
"23nd",0.862150341183922,66.0279486252193,"35"
"20d",0.881204869056666,36.9710132353437,"35"
"19d",0.848344456498755,48.1421600151189,"35"
"22nd",0.775730198628486,88.5222602651054,"35"
"43d",0.849722500720807,42.7777002378526,"35"
"24nd",0.809817726870622,78.7877019765899,"35"
"31d",0.900140760199142,17.2260267937763,"35"
"32d",0.865102540338144,40.8441768921439,"35"
"34nd",0.847242037102192,55.0542044418968,"35"
"esalroomot50",0.869060079572989,10.1998769689868,"35"
"Esal-ch7-tree37",0.817327404699358,22.4273581881814,"35"
"esalroomot41",0.892294110499736,8.75654355359907,"35"
"esal-ch2-tree48",0.808945610165811,16.2249303590275,"35"
"esalroomot392",0.879939630923877,10.0245336358395,"35"
"esal-ch10-tree1S",0.861509986876491,9.57556202817996,"35"
"esalroomot591",0.897875548763645,16.5144028517766,"35"
"esalroomot131",0.879895982859862,7.99317151885702,"35"
"esalroomot151",0.89203803428179,8.92435424101491,"35"
"esal-ref",0.813348180287235,15.5790280843823,"35"
"esalroomot588_fix",0.865125537583723,14.7287299689515,"35"
"Esal-ch12-tree46_fix",0.864797953920892,5.25157436913905,"35"
"esalroomot360",0.878911832890593,16.2685822344829,"35"
"Esal-ch1-tree54",0.801081488213124,12.4516721208952,"35"
"esalroomot251",0.866024439072078,10.5685668776875,"35"
"esalroomot460",0.859853660215295,11.4818253961586,"35"
"esalroomot259",0.875327843687,11.9126406122117,"35"
"esalroomot449",0.815652874885862,13.655638597921,"35"
"Ambtr1",0.803893472950343,34.5663647395618,"35"
"Eletr5",0.849116443197756,47.0497799714074,"35"
"Eletr4",0.869514424409985,54.0584783275011,"35"
"Ambtr2",0.832580778350679,40.1773529784835,"35"
"Eletr8",0.809098482966044,38.8082595070983,"35"
"Eletr1",0.796818347745095,67.5239699378583,"35"
"Eletr2",0.796984180949336,55.8220726700182,"35"
"Eletr3",0.800145734001769,48.0694862907612,"35"
"Ambtr3",0.809004098540239,29.7890998193905,"35"
"Eletr6",0.818759474440863,24.6250732946414,"35"
"Eletr7",0.832903455609494,67.122145748471,"35"
"Ambtr4",0.824620322820233,32.4976420119938,"35"
"euchae3",0.866180450685478,2.5057914201716,"5"
"euchae1",0.885411989885416,0.58212289833256,"5"
"euchae2",0.853888402539517,5.53864249342375,"5"
"euchaeR90",0.890718817685989,3.07034993698251,"5"
"euchaeR50",0.88508849794288,1.46614593440656,"5"
"euchaeR70",0.873566131770304,3.14540420165441,"5"
"euchaeR91",0.871011042111621,2.10233546122769,"5"
"euchaeR71",0.856320514499278,1.72290735559345,"5"
"10nd",0.773543835044119,75.5158170343276,"5"
"11nd",0.721709552881521,78.8790160467403,"5"
"12nd",0.773626387383623,59.1300736409169,"5"
"7d",0.820824383924596,44.9520826384261,"5"
"33d",0.794784783378006,38.0004556889878,"5"
"8d",0.745547941749203,54.1440361069408,"5"
"35nd",0.794909149592428,57.1011360524219,"5"
"36nd",0.826144814595416,32.268785357824,"5"
"46nd",0.769238362589072,53.6518588570418,"5"
"9d",0.826797304431101,38.8780442654048,"5"
