Date,Unit,OPENversion,Comment,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,PhotRange,CondRange,CO2RRange,Nlogs
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",54,"\"09:48:12\"",3289,0,15.6,0.395,302,4.69,1.34,25.45,6,1.42,1,2.84,22.38,25.45,20.92,400.63,379.73,13.453,18.972,50.34,71,499.9,1801,70,101.6,0.0465,0.146,1,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",55,"\"09:48:13\"",3289.5,0,15.7,0.395,301,4.69,1.34,25.45,6,1.42,1,2.84,22.38,25.45,20.92,400.67,379.72,13.454,18.971,50.35,71,499.9,1801,71,101.6,0.0465,0.146,1,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",56,"\"09:52:45\"",3562,0,21.8,0.389,1430,4.55,1.32,25.3,6,1.42,1,2.84,22.33,25.3,20.93,1600.36,1565.63,13.504,18.864,50.69,70.8,499.9,1799,71,101.6,-12.5,0.126,0.7,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",57,"\"09:52:45\"",3562.5,0,21.8,0.388,1430,4.55,1.32,25.3,6,1.42,1,2.84,22.33,25.3,20.93,1600.35,1565.65,13.505,18.864,50.69,70.8,499.9,1799,71,101.6,-12.5,0.126,0.7,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",58,"\"09:52:45\"",3562.5,0,21.8,0.388,1430,4.55,1.32,25.3,6,1.42,1,2.84,22.33,25.3,20.93,1600.35,1565.65,13.505,18.864,50.69,70.8,499.9,1799,71,101.6,-12.5,0.126,0.7,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",59,"\"09:52:46\"",3563,0,21.8,0.388,1430,4.55,1.32,25.3,6,1.42,1,2.84,22.33,25.3,20.93,1600.38,1565.69,13.506,18.864,50.69,70.8,499.9,1799,71,101.6,-12.5,0.126,0.7,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:43:31 plot3-1",60,"\"09:52:46\"",3563.5,0,21.8,0.388,1430,4.55,1.32,25.3,6,1.42,1,2.84,22.33,25.3,20.93,1600.34,1565.68,13.506,18.863,50.69,70.8,499.9,1799,71,101.6,-12.5,0.126,0.7,-0.22,2.74,1,0,0.16,111115,6.2,0.00800000000000001,1199.82,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:54:45 plot3-7",61,"\"09:58:46\"",3922,0,16.6,0.341,287,3.96,1.28,25.3,5.8,1.46,1,2.93,24.53,25.3,24.05,400.21,379.2,14.715,19.22,48.38,63.19,499.9,1799,1645,101.6,-0.656,0.107,1,-0.22,2.74,1,0,0.16,111115,5.7,0.033,1199.31,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:54:45 plot3-7",62,"\"09:58:46\"",3922.5,0,16.6,0.341,287,3.96,1.28,25.3,5.8,1.46,1,2.93,24.53,25.3,24.05,400.18,379.2,14.714,19.22,48.37,63.18,499.9,1799,1645,101.6,-0.656,0.107,1,-0.22,2.74,1,0,0.16,111115,5.7,0.033,1199.31,10
"\"Thr Mar  7 2013 08:53:52\"","unknown","6.1.4","09:54:45 plot3-7",63,"\"09:58:47\"",3923.5,0,16.5,0.341,287,3.96,1.29,25.31,5.8,1.46,1,2.93,24.53,25.31,24.05,400.16,379.25,14.711,19.221,48.35,63.18,499.9,1799,1645,101.6,-0.656,0.107,1,-0.22,2.74,1,0,0.16,111115,5.7,0.033,1199.31,10
